City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,42.91,81,0,5.75,clear sky
1,Tasiilaq,GL,65.61,-37.64,33.49,97,100,10.2,snow
2,Hermanus,ZA,-34.42,19.23,58.8,63,0,9.6,clear sky
3,Rikitea,PF,-23.12,-134.97,77.04,71,27,18.68,scattered clouds
4,Saskylakh,RU,71.92,114.08,33.64,100,100,5.23,overcast clouds
5,Busselton,AU,-33.65,115.33,57.27,70,95,8.9,overcast clouds
6,Port Blair,IN,11.67,92.75,83.75,77,95,7.07,overcast clouds
7,Tadine,NC,-21.55,167.88,77.74,63,9,13.8,clear sky
8,Avarua,CK,-21.21,-159.78,80.65,65,75,4.61,broken clouds
9,Cidreira,BR,-30.18,-50.21,59.99,82,98,14.63,overcast clouds
10,Kinchil,MX,20.92,-89.95,81.05,68,0,7.36,clear sky
11,Vaini,TO,-21.20,-175.20,73.56,88,40,6.91,light intensity drizzle
12,Santa Margherita Ligure,IT,44.33,9.21,65.97,82,12,1.99,few clouds
13,Ancud,CL,-41.87,-73.82,46.6,76,100,9.84,overcast clouds
14,Jamestown,US,42.10,-79.24,73.04,55,0,3.44,clear sky
15,Kodiak,US,57.79,-152.41,49.51,62,0,12.66,clear sky
16,Nikolskoye,RU,59.70,30.79,46.87,89,100,7.63,overcast clouds
17,Nanortalik,GL,60.14,-45.24,30.52,83,96,5.68,overcast clouds
18,Ouegoa,NC,-20.35,164.43,80.22,66,49,14.27,scattered clouds
19,Ushuaia,AR,-54.80,-68.30,51.46,43,0,8.05,clear sky
20,Hithadhoo,MV,-0.60,73.08,82.8,76,100,11.88,overcast clouds
21,Bluff,NZ,-46.60,168.33,51.8,67,6,8.12,clear sky
22,Sisimiut,GL,66.94,-53.67,26.78,66,2,9.46,clear sky
23,Torbay,CA,47.67,-52.73,34.29,85,75,3.44,broken clouds
24,Yellowknife,CA,62.46,-114.35,52.32,40,75,12.66,broken clouds
25,Mataura,NZ,-46.19,168.86,51.48,61,3,2.48,clear sky
26,Yaan,NG,7.38,8.57,77.09,85,45,5.59,scattered clouds
27,Kikwit,CD,-5.04,18.82,71.47,72,89,1.97,overcast clouds
28,Barrow,US,71.29,-156.79,33.82,80,100,5.75,overcast clouds
29,Kahului,US,20.89,-156.47,81.84,73,65,15.01,broken clouds
30,Pisco,PE,-13.70,-76.22,64.02,88,6,4.61,mist
31,Oia,PT,40.54,-8.54,63.37,82,97,7.18,overcast clouds
32,Tevriz,RU,57.51,72.40,51.71,91,100,3.31,light rain
33,Cape Town,ZA,-33.93,18.42,62.11,93,0,3.44,mist
34,Albany,US,42.60,-73.97,69.03,93,100,4.09,overcast clouds
35,Hobart,AU,-42.88,147.33,53.46,82,75,19.57,broken clouds
36,Tuktoyaktuk,CA,69.45,-133.04,37.4,87,75,4.61,broken clouds
37,Nantucket,US,41.28,-70.10,57.31,98,100,10.36,fog
38,Carnarvon,AU,-24.87,113.63,67.71,36,0,9.35,clear sky
39,Nkhata Bay,MW,-11.61,34.29,68.29,76,18,6.31,few clouds
40,Mopti,ML,14.67,-4.00,87.84,25,6,4.61,dust
41,Puerto Carreno,CO,6.19,-67.49,82.49,75,100,5.77,overcast clouds
42,Kavieng,PG,-2.57,150.80,84.11,65,100,1.99,overcast clouds
43,Pemangkat,ID,1.17,108.97,83.66,75,99,3.58,overcast clouds
44,Namatanai,PG,-3.67,152.43,84.87,62,100,2.19,overcast clouds
45,San Cristobal,VE,7.77,-72.22,77.18,94,99,2.68,overcast clouds
46,Brae,GB,60.40,-1.35,48.38,90,99,8.39,overcast clouds
47,Sabang,ID,5.89,95.32,83.59,76,100,17.45,overcast clouds
48,Dingle,PH,11.00,122.67,84.52,69,99,1.77,overcast clouds
49,Port Alfred,ZA,-33.59,26.89,61.99,83,0,8.63,clear sky
50,Leon Valley,US,29.50,-98.62,93.9,31,0,5.99,clear sky
51,Saint-Joseph,RE,-21.37,55.62,66.58,83,50,11.5,light rain
52,Sur,OM,22.57,59.53,82.36,59,0,5.26,clear sky
53,Sao Joao Da Barra,BR,-21.64,-41.05,73.04,86,32,13.71,scattered clouds
54,Kampene,CD,-3.60,26.67,67.86,97,46,1.1,light rain
55,Qaanaaq,GL,77.48,-69.36,21.43,76,93,5.28,overcast clouds
56,Atuona,PF,-9.80,-139.03,78.75,71,11,15.59,few clouds
57,Upernavik,GL,72.79,-56.15,10.45,92,37,6.96,scattered clouds
58,Cabo San Lucas,MX,22.89,-109.91,88.18,47,94,14.27,overcast clouds
59,Pilar,BR,-9.60,-35.96,73.33,90,100,2.19,overcast clouds
60,Ahipara,NZ,-35.17,173.17,68.4,77,2,12.3,clear sky
61,Dudinka,RU,69.41,86.18,34.97,97,100,3.38,overcast clouds
62,Kargopol,RU,61.51,38.95,43.45,96,100,5.91,overcast clouds
63,East London,ZA,-33.02,27.91,61.48,84,0,7.31,clear sky
64,Minudasht,IR,37.23,55.37,58.57,72,0,4.61,clear sky
65,Saint-Philippe,RE,-21.36,55.77,67.59,87,78,11.16,light rain
66,Chuy,UY,-33.70,-53.46,46.92,70,0,7.87,clear sky
67,Hovd,MN,48.01,91.64,62.98,19,100,1.57,overcast clouds
68,Kutum,SD,14.20,24.67,72.45,54,98,13.62,overcast clouds
69,Thompson,CA,55.74,-97.86,35.76,93,100,10.36,light intensity drizzle
70,Aykhal,RU,66.00,111.50,36.91,92,100,3.09,overcast clouds
71,Bambous Virieux,MU,-20.34,57.76,73.65,88,40,11.5,moderate rain
72,Korla,CN,41.76,86.15,71.29,17,100,8.08,overcast clouds
73,Provideniya,RU,64.38,-173.30,39.36,75,75,18.01,broken clouds
74,Castro,BR,-24.79,-50.01,53.62,97,8,5.06,clear sky
75,Puerto Ayora,EC,-0.74,-90.35,72.55,96,84,1.01,broken clouds
76,Kapaa,US,22.08,-159.32,82.38,74,0,9.22,clear sky
77,Mar Del Plata,AR,-38.00,-57.56,52.95,83,40,11.5,scattered clouds
78,Victoria,HK,22.29,114.16,68.38,87,100,8.99,overcast clouds
79,San Carlos De Bariloche,AR,-41.15,-71.31,35.35,64,0,6.91,clear sky
80,Longyearbyen,SJ,78.22,15.64,30.04,74,75,1.14,broken clouds
81,Ormara,PK,25.21,64.64,84.74,51,0,11.27,clear sky
82,Guerrero Negro,MX,27.98,-114.06,68.16,62,70,15.37,broken clouds
83,Kruisfontein,ZA,-34.00,24.73,54.93,66,0,5.95,clear sky
84,Samarai,PG,-10.62,150.67,82.81,69,1,5.32,clear sky
85,Lithgow,AU,-33.48,150.15,59.63,54,0,8.88,clear sky
86,Nadym,RU,65.53,72.52,46.65,82,24,7.83,few clouds
87,Dharapuram,IN,10.73,77.52,76.46,84,100,13.73,overcast clouds
88,Mahanoro,MG,-19.90,48.80,66.9,88,3,7.34,clear sky
89,Ranfurly,NZ,-45.13,170.10,56.26,63,0,3.8,clear sky
90,Port Lincoln,AU,-34.73,135.87,60.39,60,70,17.87,broken clouds
91,Yauya,PE,-8.98,-77.30,49.24,84,85,5.68,light rain
92,Menongue,AO,-14.66,17.69,57.18,61,26,5.41,scattered clouds
93,Chokwe,MZ,-24.53,32.98,63.77,97,19,6.82,few clouds
94,Constantine,DZ,36.37,6.61,63.81,67,75,2.3,broken clouds
95,Fort Nelson,CA,58.81,-122.70,60.39,33,75,12.66,broken clouds
96,Banda Aceh,ID,5.56,95.32,82.67,77,99,11.86,overcast clouds
97,Khatanga,RU,71.97,102.50,32.49,100,100,2.37,overcast clouds
98,Kawalu,ID,-7.38,108.21,78.75,84,96,1.79,overcast clouds
99,Scarborough,GB,54.28,-0.40,51.33,89,100,5.99,light rain
100,Nome,US,64.50,-165.41,42.87,75,0,10.36,clear sky
101,Khromtau,KZ,50.25,58.43,50.22,95,97,11.14,overcast clouds
102,Ulaangom,MN,49.98,92.07,63.91,18,100,2.39,overcast clouds
103,Nishihara,JP,26.18,127.76,64.06,94,75,17.27,light rain
104,Chernoyerkovskaya,RU,45.43,37.77,57.25,75,12,6.62,few clouds
105,Filadelfia,US,39.95,-75.16,74.01,81,63,7.0,broken clouds
106,Hamilton,US,39.18,-84.53,76.84,61,53,1.59,broken clouds
107,Gao,ML,16.64,1.64,90.91,25,75,7.52,broken clouds
108,Hilo,US,19.73,-155.09,86.29,83,44,5.99,scattered clouds
109,New Norfolk,AU,-42.78,147.06,53.1,49,78,11.65,broken clouds
110,Alice Springs,AU,-23.70,133.88,69.22,32,81,13.8,broken clouds
111,Waddan,LY,29.16,16.14,71.62,22,0,7.76,clear sky
112,Dwarka,IN,22.24,68.97,82.62,76,0,18.25,clear sky
113,Mogadouro,PT,41.34,-6.71,49.78,87,66,3.44,broken clouds
114,Allanridge,ZA,-27.75,26.64,53.67,68,3,7.43,clear sky
115,Tabuleiro Do Norte,BR,-5.25,-38.13,75.16,90,34,5.01,scattered clouds
116,Camacha,PT,33.08,-16.33,62.02,94,0,4.61,clear sky
117,Florianopolis,BR,-27.61,-48.50,66.42,90,75,2.3,broken clouds
118,Arman,RU,59.70,150.17,41.02,86,100,15.68,overcast clouds
119,Saldanha,ZA,-33.01,17.94,57.25,46,0,8.68,clear sky
120,Shebunino,RU,46.43,141.86,49.42,80,55,18.3,broken clouds
121,Luderitz,NA,-26.65,15.16,71.6,27,44,7.18,scattered clouds
122,Salinas,US,36.68,-121.66,77.0,71,75,10.36,broken clouds
123,Honningsvag,NO,70.98,25.97,38.95,81,100,14.97,overcast clouds
124,Alofi,NU,-19.06,-169.92,78.69,61,40,11.5,scattered clouds
125,Bilibino,RU,68.05,166.44,32.97,93,94,4.14,overcast clouds
126,Novikovo,RU,51.15,37.89,45.41,95,100,10.78,overcast clouds
127,Chokurdakh,RU,70.63,147.92,20.1,82,100,11.95,overcast clouds
128,Nanzhang,CN,31.78,111.84,71.47,33,97,0.56,overcast clouds
129,Nouadhibou,MR,20.93,-17.03,75.18,64,100,16.11,overcast clouds
130,Port Hardy,CA,50.70,-127.42,48.38,93,100,3.44,light rain
131,Pacific Grove,US,36.62,-121.92,71.87,83,75,10.36,broken clouds
132,Noumea,NC,-22.28,166.46,80.58,99,35,12.03,scattered clouds
133,Taltal,CL,-25.40,-70.48,59.76,79,100,3.87,overcast clouds
134,Vestmanna,FO,62.16,-7.17,45.52,87,20,10.36,few clouds
135,Arraial Do Cabo,BR,-22.97,-42.03,73.72,84,8,19.37,clear sky
136,Bonga,ET,7.28,36.23,59.32,98,96,1.01,light rain
137,Muisne,EC,0.60,-80.03,78.26,88,100,10.67,light rain
138,Livingston,GB,55.90,-3.52,51.58,92,75,11.5,broken clouds
139,Jining,CN,35.41,116.58,73.0,1,0,6.24,clear sky
140,Ponta Do Sol,PT,32.67,-17.10,68.72,84,36,6.38,scattered clouds
141,Nikolayevka,RU,53.13,47.20,42.93,95,76,7.96,broken clouds
142,Talnakh,RU,69.49,88.40,38.21,90,100,10.6,overcast clouds
143,Porto Novo,BJ,6.50,2.60,80.02,86,100,4.63,overcast clouds
144,Mindelo,CV,16.89,-24.98,72.84,77,54,21.47,broken clouds
145,Skegness,GB,53.14,0.34,56.34,94,100,12.84,overcast clouds
146,Port Macquarie,AU,-31.43,152.92,74.89,77,100,8.23,overcast clouds
147,Mount Gambier,AU,-37.83,140.77,56.66,57,96,11.81,light rain
148,Padang,ID,-0.95,100.35,77.05,86,21,2.44,few clouds
149,Clyde River,CA,70.47,-68.59,18.72,86,29,3.31,scattered clouds
150,Augusto Correa,BR,-1.02,-46.63,75.72,97,100,3.67,overcast clouds
151,Kiama,AU,-34.68,150.87,73.26,63,0,7.0,clear sky
152,Erzin,TR,36.96,36.20,59.36,90,9,2.62,clear sky
153,Fortuna,US,40.60,-124.16,67.93,66,20,13.8,few clouds
154,Labuhan,ID,-6.88,112.21,81.7,80,85,5.66,overcast clouds
155,Killybegs,IE,54.63,-8.45,55.45,94,100,12.55,overcast clouds
156,Krasnoselkup,RU,65.70,82.47,50.68,97,100,3.69,moderate rain
157,Paracuru,BR,-3.41,-39.03,78.12,90,100,8.48,overcast clouds
158,Pevek,RU,69.70,170.31,27.97,79,98,3.96,overcast clouds
159,Maniitsoq,GL,65.42,-52.90,32.31,63,6,9.33,clear sky
160,Pirgos,GR,35.12,25.72,64.62,54,0,4.25,clear sky
161,San Rafael,AR,-34.62,-68.33,46.8,43,3,5.48,clear sky
162,Muros,ES,42.78,-9.06,61.09,90,100,17.05,overcast clouds
163,Roald,NO,62.58,6.13,43.75,75,6,12.66,clear sky
164,Okhotsk,RU,59.38,143.30,32.92,98,100,38.56,snow
165,Xai-Xai,MZ,-25.05,33.64,67.44,88,24,6.04,light rain
166,Chake Chake,TZ,-5.25,39.77,77.02,80,0,10.11,light rain
167,Tshela,CD,-4.98,12.93,73.06,99,46,0.78,scattered clouds
168,Waconia,US,44.85,-93.79,69.89,67,55,8.3,broken clouds
169,Geraldton,AU,-28.77,114.60,59.41,72,0,12.66,clear sky
170,Paamiut,GL,61.99,-49.67,32.86,76,5,9.84,clear sky
171,Hofn,IS,64.25,-15.21,47.57,89,98,4.34,overcast clouds
172,Camana,PE,-16.62,-72.71,65.98,81,10,7.87,clear sky
173,Jawar,IN,23.00,76.50,84.29,38,6,11.34,clear sky
174,Westport,US,41.14,-73.36,70.12,90,42,7.29,scattered clouds
175,Esso,RU,55.93,158.70,36.73,100,100,8.01,overcast clouds
176,Saint-Francois,FR,46.42,3.91,62.04,82,75,6.91,thunderstorm with rain
177,Isangel,VU,-19.55,169.27,79.39,70,38,15.23,scattered clouds
178,Mazagao,BR,-0.12,-51.29,75.15,97,100,2.89,overcast clouds
179,Batemans Bay,AU,-35.72,150.18,68.97,47,0,6.71,clear sky
180,Souillac,MU,-20.52,57.52,73.78,88,40,11.5,light rain
181,Manggar,ID,-2.88,108.27,83.91,78,97,5.99,overcast clouds
182,Slavyanka,RU,42.86,131.38,58.06,56,73,8.19,broken clouds
183,Port Elizabeth,ZA,-33.92,25.57,54.32,97,0,2.3,light rain
184,Independenta,RO,45.48,27.75,60.19,62,0,8.03,clear sky
185,Salalah,OM,17.02,54.09,78.06,63,7,1.72,clear sky
186,Mahebourg,MU,-20.41,57.70,73.69,88,40,6.91,scattered clouds
187,Gazojak,TM,41.19,61.40,72.73,19,45,6.55,scattered clouds
188,Amapa,BR,1.00,-52.00,73.08,99,100,1.95,overcast clouds
189,Orlik,RU,52.52,99.83,57.47,27,12,2.59,few clouds
190,Kaitangata,NZ,-46.28,169.85,56.26,63,0,2.73,clear sky
191,Taseyevo,RU,57.22,94.90,62.67,67,100,7.61,overcast clouds
192,Sambava,MG,-14.27,50.17,70.81,79,1,9.04,clear sky
193,Vao,NC,-22.67,167.48,73.89,74,55,17.27,broken clouds
194,Iqaluit,CA,63.75,-68.51,26.33,80,100,12.66,overcast clouds
195,Georgetown,MY,5.41,100.34,80.53,93,20,4.61,few clouds
196,Kununurra,AU,-15.77,128.73,85.98,58,0,4.61,clear sky
197,Kieta,PG,-6.22,155.63,84.54,69,30,4.56,light rain
198,Husavik,IS,66.04,-17.34,45.55,84,11,9.04,few clouds
199,Dikson,RU,73.51,80.55,34.59,93,100,15.12,overcast clouds
200,Antalaha,MG,-14.90,50.28,71.17,83,24,6.98,few clouds
201,Eldorado,BR,-23.79,-54.28,56.82,93,5,5.97,clear sky
202,Leningradskiy,RU,69.38,178.42,26.91,76,100,3.67,overcast clouds
203,Saint-Augustin,CA,51.23,-58.65,39.04,60,73,5.73,broken clouds
204,Tripoli,LY,32.88,13.19,74.53,37,0,8.97,clear sky
205,Sakakah,SA,29.97,40.21,73.71,28,20,9.13,few clouds
206,Dongsheng,CN,39.82,109.98,58.39,12,0,19.08,clear sky
207,Batavia,US,41.85,-88.31,64.18,66,100,4.0,light rain
208,Bredasdorp,ZA,-34.53,20.04,53.78,81,0,3.71,clear sky
209,Mirnyy,RU,62.54,113.96,39.24,86,100,11.01,overcast clouds
210,Itoman,JP,26.12,127.67,64.78,94,75,17.27,mist
211,Butaritari,KI,3.07,172.79,82.04,73,40,10.98,scattered clouds
212,La Asuncion,VE,11.03,-63.86,80.33,83,34,20.71,scattered clouds
213,Meulaboh,ID,4.14,96.13,77.68,88,100,3.91,overcast clouds
214,Aklavik,CA,68.22,-135.01,32.23,99,100,7.49,overcast clouds
215,Chapleau,CA,47.84,-83.40,49.66,60,9,6.04,clear sky
216,Saurimo,AO,-9.66,20.39,61.02,60,0,5.28,clear sky
217,Jalu,LY,29.03,21.55,70.92,34,0,9.71,clear sky
218,Talara,PE,-4.58,-81.27,66.22,85,96,17.05,overcast clouds
219,Tommot,RU,58.96,126.29,34.38,71,100,5.86,overcast clouds
220,Avera,US,33.19,-82.53,76.55,74,94,5.91,overcast clouds
221,Sibolga,ID,1.74,98.78,76.95,91,100,3.04,light rain
222,Sechura,PE,-5.56,-80.82,67.55,75,52,14.79,broken clouds
223,Adjumani,UG,3.38,31.79,65.46,95,90,1.63,overcast clouds
224,Heihe,CN,50.24,127.49,50.58,27,14,14.65,few clouds
225,Daura,NG,11.55,11.41,84.92,23,23,5.59,few clouds
226,Severo-Kurilsk,RU,50.68,156.12,36.64,98,100,14.32,light rain
227,San Francisco,US,37.77,-122.42,75.11,80,75,29.93,broken clouds
228,Teberda,RU,43.45,41.74,40.77,90,100,6.93,overcast clouds
229,Nuuk,GL,64.18,-51.72,29.88,58,0,11.01,clear sky
230,Cherskiy,RU,68.75,161.30,33.94,85,100,8.03,overcast clouds
231,Mitu,CO,1.20,-70.17,73.78,99,100,1.61,light rain
232,Pailitas,CO,8.96,-73.63,79.11,90,100,2.93,overcast clouds
233,Saint George,US,37.10,-113.58,97.39,4,0,17.27,clear sky
234,Ilo,PE,-17.64,-71.34,64.24,82,32,4.72,scattered clouds
235,Kasiri,SL,8.94,-13.11,80.46,89,34,5.12,scattered clouds
236,Itaituba,BR,-4.28,-55.98,75.33,99,100,2.01,overcast clouds
237,Flinders,AU,-34.58,150.86,73.06,66,0,8.99,clear sky
238,Konde,TZ,-4.95,39.75,76.46,83,1,9.71,light rain
239,Henties Bay,NA,-22.12,14.28,63.61,60,5,3.96,clear sky
240,Hualmay,PE,-11.10,-77.61,63.54,84,9,8.72,clear sky
241,Pangnirtung,CA,66.15,-65.71,16.2,91,49,4.63,scattered clouds
242,Klaksvik,FO,62.23,-6.59,47.32,97,80,11.23,broken clouds
243,Kassala,SD,15.45,36.40,86.9,35,0,12.91,clear sky
